stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e4,calce,direct_proj,CS2_38,2024,4.0931508477170535,4.517463052194386,0.9188748789230458,22.07477378845215,80.11152416356877,0.0,,,
e1,calce,direct,CS2_33,7,25.87067413330078,29.7404626256469,-1.5847258567810059,25.87067413330078,78.86836027713626,,,,
e2,calce,coral,CS2_33,7,25.383113861083984,30.540756260589717,-1.7257037162780762,25.383113861083984,80.13856812933025,,,,
e2,calce,self_train,CS2_33,7,25.325529098510742,28.343035065404518,-1.3475334644317627,25.325529098510742,77.94457274826789,,,,
e2,calce,dann,CS2_33,7,23.236459732055664,26.060229451830068,-0.9846115112304688,23.236459732055664,78.52193995381063,,,,
e3,calce,hipif,CS2_33,7,4.071611522464921,4.79119743509777,0.9329178201933761,25.512001037597656,79.79214780600462,0.0,18.798247444189442,0.35,14.0
e4,calce,no_gate,CS2_33,7,6.158143401386201,8.212991899050254,0.8028840260864354,6.220422267913818,16.166281755196305,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_33,7,3.9426771075370626,4.675103521592441,0.9361293265818613,22.208332061767578,79.90762124711316,0.0,18.401836010849156,0.35,14.0
e4,calce,no_projection,CS2_33,7,4.129502855454939,4.849100675239383,0.9312866008537692,26.68698501586914,78.75288683602771,0.0,18.547882328395577,0.35,14.0
e4,calce,direct_proj,CS2_33,7,4.148836835219646,4.868910962503647,0.9307240170576312,25.87067413330078,78.86836027713626,0.0,,,
e1,calce,direct,CS2_34,7,27.856969833374023,30.613082622250225,-3.7255029678344727,27.856969833374023,91.87096774193549,,,,
e2,calce,coral,CS2_34,7,23.885786056518555,27.34006559998931,-2.769059896469116,23.885786056518555,93.93548387096774,,,,
e2,calce,self_train,CS2_34,7,26.238140106201172,28.80693347970079,-3.18435001373291,26.238140106201172,90.96774193548387,,,,
e2,calce,dann,CS2_34,7,25.908103942871094,28.08344695146558,-2.97680926322937,25.908103942871094,93.54838709677419,,,,
e3,calce,hipif,CS2_34,7,3.4510761219839865,4.073800686979212,0.9163177284081386,27.583209991455078,93.6774193548387,0.0,20.823095823095823,0.35,14.0
e4,calce,no_gate,CS2_34,7,3.945051039008535,4.937893768540855,0.8770531541344349,6.23424768447876,65.29032258064517,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_34,7,3.4366625961730635,4.052625830835404,0.9171853972214115,22.751487731933594,94.19354838709677,0.0,20.67977067977068,0.35,14.0
e4,calce,no_projection,CS2_34,7,3.4026204870501435,4.030534157205468,0.9180858142505134,28.10977554321289,93.41935483870968,0.0,20.823095823095823,0.35,14.0
e4,calce,direct_proj,CS2_34,7,3.459274531683138,4.080056053086035,0.9160605409915132,27.856969833374023,91.87096774193549,0.0,,,
e1,calce,direct,CS2_35,7,22.60569953918457,25.457300676129112,-1.5679683685302734,22.60569953918457,80.04291845493562,,,,
e2,calce,coral,CS2_35,7,19.700868606567383,23.14369757201056,-1.1224160194396973,19.700868606567383,69.31330472103005,,,,
e2,calce,self_train,CS2_35,7,20.725263595581055,22.756617663021398,-1.0520145893096924,20.725263595581055,77.36051502145924,,,,
e2,calce,dann,CS2_35,7,20.168107986450195,22.314599373836934,-0.9730731248855591,20.168107986450195,77.6824034334764,,,,
e3,calce,hipif,CS2_35,7,3.561666602875877,4.107624257444109,0.9331430809895014,21.15517234802246,79.18454935622317,0.0,19.08187010789084,0.35,14.0
e4,calce,no_gate,CS2_35,7,4.6136293626060665,6.18936320975885,0.8482052059134086,5.198277950286865,22.42489270386266,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_35,7,3.373899445990626,3.805367465514764,0.9426203175070189,14.594950675964355,81.22317596566523,0.0,18.595303575206263,0.35,14.0
e4,calce,no_projection,CS2_35,7,3.5616560032580087,4.095783738897864,0.9335279650921701,22.52509880065918,80.5793991416309,0.0,18.7856991749524,0.35,14.0
e4,calce,direct_proj,CS2_35,7,3.527461337802201,4.042744193808448,0.9352384158984836,22.60569953918457,80.04291845493562,0.0,,,
e1,calce,direct,CS2_36,7,22.462583541870117,25.757704683956945,-1.1283602714538574,22.462583541870117,74.82014388489209,,,,
e2,calce,coral,CS2_36,7,20.876726150512695,24.191089294811245,-0.877334713935852,20.876726150512695,69.27029804727647,,,,
e2,calce,self_train,CS2_36,7,21.11542320251465,23.410634341960254,-0.7581552267074585,21.11542320251465,74.40904419321686,,,,
e2,calce,dann,CS2_36,7,19.76863670349121,21.937064576786334,-0.5437887907028198,19.76863670349121,73.99794450154162,,,,
e3,calce,hipif,CS2_36,7,4.20803795780591,4.847724016222578,0.9246112304527858,22.268781661987305,75.0256937307297,0.0,17.43491250533504,0.35,14.0
e4,calce,no_gate,CS2_36,7,5.713130901779151,7.655733614141503,0.8119798011721704,6.487627983093262,40.184994861253855,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_36,7,3.934180598857017,4.514962133457079,0.934605818976489,21.689151763916016,75.23124357656732,0.0,17.11481007255655,0.35,14.0
e4,calce,no_projection,CS2_36,7,4.287024562365123,4.950751653577312,0.9213727361316498,22.675779342651367,74.82014388489209,0.0,17.562953478446435,0.35,14.0
e4,calce,direct_proj,CS2_36,7,4.27144991422571,4.930820800432235,0.9220045407979542,22.462583541870117,74.82014388489209,0.0,,,
e1,calce,direct,CS2_37,7,22.001548767089844,24.82334313217727,-1.4671361446380615,22.001548767089844,77.62777242044359,,,,
e2,calce,coral,CS2_37,7,20.064176559448242,23.176020574885154,-1.1505539417266846,20.064176559448242,69.81677917068467,,,,
e2,calce,self_train,CS2_37,7,20.181846618652344,22.138354048363738,-0.9622902870178223,20.181846618652344,76.95274831243974,,,,
e2,calce,dann,CS2_37,7,18.687997817993164,20.46892667504859,-0.6775007247924805,18.687997817993164,76.56702025072323,,,,
e3,calce,hipif,CS2_37,7,3.943910329952233,4.335583793208839,0.9247393945863913,20.440444946289062,78.20636451301833,0.0,18.39030722630896,0.35,14.0
e4,calce,no_gate,CS2_37,7,5.004759976665921,6.8345433684063694,0.8129784954426715,5.104946613311768,10.414657666345226,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_37,7,3.533063261978598,3.7550921658742227,0.943543527264797,14.756338119506836,79.55641272902604,0.0,17.568152315015144,0.35,14.0
e4,calce,no_projection,CS2_37,7,3.9522699000209447,4.34861992982906,0.9242861303584209,21.933439254760742,78.01350048216008,0.0,18.303764604067503,0.35,14.0
e4,calce,direct_proj,CS2_37,7,3.911509341857767,4.285457583875591,0.9264695978709944,22.001548767089844,77.62777242044359,0.0,,,
e1,calce,direct,CS2_38,7,22.328794479370117,25.031009820554956,-1.490708351135254,22.328794479370117,80.11152416356877,,,,
e2,calce,coral,CS2_38,7,20.412418365478516,23.128504801975417,-1.1264798641204834,20.412418365478516,79.27509293680298,,,,
e2,calce,self_train,CS2_38,7,20.308029174804688,22.165497866149924,-0.9530849456787109,20.308029174804688,75.65055762081785,,,,
e2,calce,dann,CS2_38,7,18.39999008178711,20.026466405470863,-0.5943174362182617,18.39999008178711,74.34944237918215,,,,
e3,calce,hipif,CS2_38,7,4.02498489051195,4.408795545834767,0.9227308636514419,20.821250915527344,80.29739776951673,0.0,18.874099934540695,0.35,14.0
e4,calce,no_gate,CS2_38,7,4.730925090862326,5.967476149658766,0.858437728257109,5.489572525024414,35.03717472118959,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_38,7,3.905402144660636,4.231498818871139,0.9288205566148894,15.595917701721191,80.66914498141264,0.0,18.481344097752565,0.35,14.0
e4,calce,no_projection,CS2_38,7,4.039861336426633,4.433521131557484,0.9218617455553735,22.322214126586914,80.48327137546468,0.0,18.69954178485708,0.35,14.0
e4,calce,direct_proj,CS2_38,7,4.001209029112385,4.374298736286516,0.9239353242993418,22.328794479370117,80.11152416356877,0.0,,,
e1,calce,direct,CS2_33,99,25.072391510009766,27.893409568628954,-1.2736430168151855,25.072391510009766,76.55889145496536,,,,
e2,calce,coral,CS2_33,99,24.9986629486084,29.940640533669388,-1.6196377277374268,24.9986629486084,80.0230946882217,,,,
e2,calce,self_train,CS2_33,99,23.410871505737305,26.404793783811776,-1.0374388694763184,23.410871505737305,78.52193995381063,,,,
e2,calce,dann,CS2_33,99,26.98550796508789,30.837610006580743,-1.7789483070373535,26.98550796508789,80.71593533487298,,,,
e3,calce,hipif,CS2_33,99,5.1971465843707465,6.301769796786926,0.8839502791912764,22.70039176940918,74.94226327944573,0.0,23.388274567076987,0.35,14.0
e4,calce,no_gate,CS2_33,99,6.713833878202677,9.419033486599933,0.7407422706609803,6.9241414070129395,20.438799076212472,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_33,99,5.213650587858619,6.331955098142806,0.8828358667217232,22.262683868408203,74.5958429561201,0.0,22.574587940746923,0.35,14.0
e4,calce,no_projection,CS2_33,99,4.950122394633858,5.934474686378912,0.8970838349970888,25.077972412109375,75.98152424942263,0.0,22.38681410390152,0.35,14.0
e4,calce,direct_proj,CS2_33,99,4.992800935766049,5.992983585288241,0.8950444986385482,25.072391510009766,76.55889145496536,0.0,,,
e1,calce,direct,CS2_34,99,24.558956146240234,27.40801599569572,-2.787818193435669,24.558956146240234,89.6774193548387,,,,
e2,calce,coral,CS2_34,99,22.77395248413086,25.967653547475535,-2.4001598358154297,22.77395248413086,93.93548387096774,,,,
e2,calce,self_train,CS2_34,99,24.127696990966797,26.650740381659663,-2.58139705657959,24.127696990966797,91.87096774193549,,,,
e2,calce,dann,CS2_34,99,28.605060577392578,30.700775196340725,-3.7526144981384277,28.605060577392578,94.70967741935485,,,,
e3,calce,hipif,CS2_34,99,3.765862677764309,4.57682854276886,0.8943758582742546,22.137235641479492,86.06451612903226,0.0,26.33087633087633,0.35,14.0
e4,calce,no_gate,CS2_34,99,4.197176467277516,5.591871884631923,0.84233026702949,5.698520660400391,47.225806451612904,0.0,100.0,0.35,14.0
