stage,dataset,method,cell,seed,mae,rmse,r2,raw_pvr
e8,calce,Transformer_direct,CS2_38,42,18.392894744873047,20.322355631858585,-0.6417772769927979,70.91078066914498
e8,calce,Transformer_direct_proj,CS2_38,42,4.838772587429645,5.960361929936682,0.8587750583987863,70.91078066914498
e8,calce,GRU_direct,CS2_33,123,18.952280044555664,21.481472105021762,-0.34848809242248535,71.59353348729792
e8,calce,GRU_direct_proj,CS2_33,123,5.5581012529092995,7.300798141082504,0.8442386463040409,71.59353348729792
e8,calce,GRU_direct,CS2_34,123,18.096282958984375,20.97241579125051,-1.2178432941436768,86.96774193548387
e8,calce,GRU_direct_proj,CS2_34,123,3.6001161814274782,4.638532710671777,0.8915086398973825,86.96774193548387
e8,calce,GRU_direct,CS2_35,123,18.434595108032227,20.41147461352162,-0.6508733034133911,75.42918454935622
e8,calce,GRU_direct_proj,CS2_35,123,4.499776056317943,5.931577567430909,0.8605863276445684,75.42918454935622
e8,calce,GRU_direct,CS2_36,123,18.779659271240234,20.939882968404305,-0.4066283702850342,72.97019527235355
e8,calce,GRU_direct_proj,CS2_36,123,5.58133769028284,7.109710081444906,0.837843387355434,72.97019527235355
e8,calce,GRU_direct,CS2_37,123,18.097524642944336,19.90916950848473,-0.5870071649551392,75.50626808100289
e8,calce,GRU_direct_proj,CS2_37,123,5.013327113491736,6.245782958487418,0.8438124847208149,75.50626808100289
e8,calce,GRU_direct,CS2_38,123,18.399456024169922,20.236251873619732,-0.6278946399688721,73.60594795539033
e8,calce,GRU_direct_proj,CS2_38,123,4.986236474218018,6.257262199648353,0.8443551171215389,73.60594795539033
e8,calce,Transformer_direct,CS2_33,123,20.767871856689453,23.002698657066578,-0.5462390184402466,69.9769053117783
e8,calce,Transformer_direct_proj,CS2_33,123,5.698576046968234,7.26783678329479,0.8456419219404568,69.9769053117783
e8,calce,Transformer_direct,CS2_34,123,20.108736038208008,22.59179814139899,-1.5735673904418945,84.7741935483871
e8,calce,Transformer_direct_proj,CS2_34,123,3.843945457585714,4.755596165007807,0.8859635095969149,84.7741935483871
e8,calce,Transformer_direct,CS2_35,123,18.80286979675293,20.70669117281107,-0.6989727020263672,73.39055793991416
e8,calce,Transformer_direct_proj,CS2_35,123,4.428435601895329,5.811926938958002,0.8661540509204935,73.39055793991416
e8,calce,Transformer_direct,CS2_36,123,19.25570297241211,21.284902833300574,-0.453363299369812,70.40082219938336
e8,calce,Transformer_direct_proj,CS2_36,123,5.591411293378873,7.006865737730146,0.8425007564483866,70.40082219938336
