stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e6,nasa,calib_H1,B0018,99,2.1432822573157573,2.3944275487010125,0.9036726870527304,4.133574485778809,55.3030303030303,0.0,,,,,
e6,nasa,calib_H2,B0018,99,1.8662818067835167,2.1935339461910464,0.9191584253584101,4.2953925132751465,57.57575757575758,0.0,,,,,
e5,nasa,drop_I1,B0005,256,2.6694889899479977,2.8712554303388234,0.9085035359534684,13.46977424621582,82.73809523809523,0.0,0.0,5.952380952380952,0.0,82.73809523809523,85.11904761904762
e5,nasa,drop_I2,B0005,256,2.665477887235782,2.8657127449030693,0.908856445432943,13.268717765808105,82.73809523809523,0.0,0.0,4.761904761904762,0.0,82.73809523809523,85.11904761904762
e5,nasa,drop_I3,B0005,256,2.681138203062125,2.879971384298695,0.9079472013485925,13.553658485412598,83.33333333333334,0.0,0.0,5.952380952380952,0.0,83.33333333333334,85.71428571428571
e5,nasa,drop_I4,B0005,256,2.545941875644225,2.7763312647481206,0.9144533082648735,4.814063549041748,64.28571428571429,0.0,0.0,10.119047619047619,0.0,61.904761904761905,70.83333333333334
e6,nasa,calib_H0,B0005,256,1.2728112793048256,1.5887772192846725,0.9719852559046741,3.5442955493927,0.0,0.0,,,,,
e6,nasa,calib_H1,B0005,256,2.677989884675031,2.877747983976138,0.9080892799945163,13.536640167236328,82.73809523809523,0.0,,,,,
e6,nasa,calib_H2,B0005,256,2.678753513793077,2.8746166167388965,0.9082891930053305,13.495111465454102,82.73809523809523,0.0,,,,,
e5,nasa,drop_I1,B0006,256,2.3925599379453297,2.7892630556165208,0.9507167034930922,12.702470779418945,75.59523809523809,0.0,0.0,5.357142857142857,0.0,75.59523809523809,75.59523809523809
e5,nasa,drop_I2,B0006,256,2.373804948969372,2.7643983458116734,0.9515914527725475,12.362227439880371,76.19047619047619,0.0,0.0,4.166666666666666,0.0,76.19047619047619,76.19047619047619
e5,nasa,drop_I3,B0006,256,2.393217223701516,2.7901630946155196,0.9506848929076379,12.701918601989746,75.59523809523809,0.0,0.0,5.357142857142857,0.0,75.59523809523809,75.59523809523809
e5,nasa,drop_I4,B0006,256,2.2367293859181823,2.6049505760027465,0.9570147184049305,4.330621719360352,65.47619047619048,0.0,0.0,22.023809523809522,0.0,64.88095238095238,67.26190476190477
e6,nasa,calib_H0,B0006,256,3.104588418631628,3.516777783688882,0.9216551136379632,2.3660783767700195,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,256,2.3922768944399215,2.788876068487824,0.9507303778421848,12.695655822753906,75.59523809523809,0.0,,,,,
e6,nasa,calib_H2,B0006,256,2.392641792793403,2.7893750369175425,0.9507127462338922,12.667793273925781,75.59523809523809,0.0,,,,,
e5,nasa,drop_I1,B0007,256,2.1957496706433552,2.366246795870035,0.9130260717259806,16.552248001098633,95.23809523809523,0.0,0.0,5.357142857142857,0.0,95.23809523809523,95.83333333333334
e5,nasa,drop_I2,B0007,256,2.2018141614669613,2.3725304291012947,0.9125635350995706,16.20412254333496,94.64285714285714,0.0,0.0,5.357142857142857,0.0,94.64285714285714,94.64285714285714
e5,nasa,drop_I3,B0007,256,2.1963635768240413,2.36471983192526,0.9131382858891611,16.612417221069336,95.83333333333334,0.0,0.0,6.547619047619048,0.0,95.83333333333334,97.61904761904762
e5,nasa,drop_I4,B0007,256,1.9762132738316462,2.1881503963799402,0.9256256222029334,6.528748512268066,78.57142857142857,0.0,2.380952380952381,16.666666666666664,0.0,72.61904761904762,88.69047619047619
e6,nasa,calib_H0,B0007,256,3.8206500497816025,4.4296173558953305,0.6952094957757731,7.05736780166626,0.0,0.0,,,,,
e6,nasa,calib_H1,B0007,256,2.1843085421318333,2.3557613552789265,0.9137951710408727,16.523054122924805,95.23809523809523,0.0,,,,,
e6,nasa,calib_H2,B0007,256,2.2240490073620327,2.3863125456787397,0.9115447412791013,16.801843643188477,96.42857142857143,0.0,,,,,
e5,nasa,drop_I1,B0018,256,1.8059658493795132,2.0953025414160265,0.9262368381941641,11.915915489196777,93.18181818181817,0.0,0.0,6.0606060606060606,0.0,93.18181818181817,94.6969696969697
e5,nasa,drop_I2,B0018,256,1.8330461972220096,2.078721827779396,0.9273996361072805,11.620022773742676,93.18181818181817,0.0,0.0,7.575757575757576,0.0,93.18181818181817,94.6969696969697
